[2025-09-10 01:02:23] Agent starting... ServerBase=https://pc-admin-server.onrender.com
[2025-09-10 01:02:23] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35821,"Time":"2025-09-10T01:02:23.5507454\u002B08:00"}
[2025-09-10 01:02:24] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:25] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35823,"Time":"2025-09-10T01:02:25.9717743\u002B08:00"}
[2025-09-10 01:02:26] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:27] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35824,"Time":"2025-09-10T01:02:27.2641567\u002B08:00"}
[2025-09-10 01:02:27] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:28] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35826,"Time":"2025-09-10T01:02:28.5108770\u002B08:00"}
[2025-09-10 01:02:29] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:30] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35827,"Time":"2025-09-10T01:02:30.1068155\u002B08:00"}
[2025-09-10 01:02:30] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:31] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35829,"Time":"2025-09-10T01:02:31.4669102\u002B08:00"}
[2025-09-10 01:02:31] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:32] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35830,"Time":"2025-09-10T01:02:32.7017354\u002B08:00"}
[2025-09-10 01:02:32] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:33] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35831,"Time":"2025-09-10T01:02:33.9748026\u002B08:00"}
[2025-09-10 01:02:34] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:35] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35832,"Time":"2025-09-10T01:02:35.2150727\u002B08:00"}
[2025-09-10 01:02:35] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:36] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35834,"Time":"2025-09-10T01:02:36.4527201\u002B08:00"}
[2025-09-10 01:02:36] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:37] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35835,"Time":"2025-09-10T01:02:37.6938860\u002B08:00"}
[2025-09-10 01:02:37] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:38] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35836,"Time":"2025-09-10T01:02:38.9666502\u002B08:00"}
[2025-09-10 01:02:39] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:40] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35837,"Time":"2025-09-10T01:02:40.2060761\u002B08:00"}
[2025-09-10 01:02:40] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:41] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35839,"Time":"2025-09-10T01:02:41.4538795\u002B08:00"}
[2025-09-10 01:02:41] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:42] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35840,"Time":"2025-09-10T01:02:42.7176391\u002B08:00"}
